industry,city,investment_type,city_tier,market_size_category,founded_year,no_of_founders
1,3,1,1,2,2013,1
2,6,1,1,0,2013,5
0,1,3,1,0,2018,5
1,1,0,1,2,2010,3
5,3,0,1,1,2011,3
6,3,2,1,1,2013,4
0,6,0,1,0,2012,3
0,4,0,0,0,2018,4
1,5,1,1,2,2014,2
3,6,0,1,2,2017,1
5,4,1,0,1,2013,3
1,4,1,0,2,2020,2
5,4,0,0,1,2013,1
5,6,2,1,1,2023,2
6,0,0,0,1,2019,2
0,0,4,0,0,2022,2
2,1,1,1,0,2020,2
6,0,2,0,1,2012,3
6,0,3,0,1,2018,5
5,4,1,0,1,2019,2
7,4,2,0,0,2011,1
0,3,3,1,0,2020,3
3,4,0,0,2,2021,3
6,6,4,1,1,2020,2
2,3,0,1,0,2012,2
7,5,0,1,0,2012,1
7,3,2,1,0,2020,5
3,0,0,0,2,2020,3
6,4,2,0,1,2012,2
2,0,3,0,0,2013,4
0,4,4,0,0,2014,4
4,0,1,0,0,2015,2
2,5,4,1,0,2014,4
3,0,1,0,2,2018,1
7,0,0,0,0,2016,5
0,6,1,1,0,2016,4
2,5,2,1,0,2016,1
4,1,1,1,0,2022,4
4,5,2,1,0,2021,1
5,0,1,0,1,2020,1
5,2,1,0,1,2016,2
1,2,4,0,2,2011,3
3,2,1,0,2,2017,1
6,6,1,1,1,2021,4
2,3,2,1,0,2019,2
2,0,1,0,0,2010,3
6,5,3,1,1,2015,5
1,2,0,0,2,2021,1
7,6,1,1,0,2020,1
7,3,0,1,0,2012,3
1,2,0,0,2,2015,2
7,4,2,0,0,2015,5
5,1,1,1,1,2017,3
2,0,3,0,0,2013,5
1,1,1,1,2,2021,3
2,1,1,1,0,2012,2
6,4,2,0,1,2011,4
4,4,2,0,0,2021,3
5,4,2,0,1,2015,4
0,3,2,1,0,2012,3
5,2,0,0,1,2022,1
1,5,2,1,2,2013,2
0,0,1,0,0,2018,1
4,4,1,0,0,2016,5
1,6,3,1,2,2023,4
3,0,1,0,2,2010,5
2,5,2,1,0,2023,4
4,0,1,0,0,2013,4
2,0,0,0,0,2020,2
7,4,1,0,0,2017,5
3,4,2,0,2,2019,1
3,2,1,0,2,2013,1
4,5,1,1,0,2010,4
3,4,3,0,2,2019,4
0,4,0,0,0,2022,4
3,0,1,0,2,2011,5
2,2,3,0,0,2014,5
2,1,3,1,0,2015,3
1,4,1,0,2,2010,1
2,6,3,1,0,2014,4
1,4,0,0,2,2017,5
2,1,0,1,0,2017,3
0,0,3,0,0,2011,4
6,5,3,1,1,2018,1
1,2,0,0,2,2011,5
5,0,0,0,1,2013,4
7,5,0,1,0,2019,2
4,3,1,1,0,2013,2
2,4,2,0,0,2013,1
3,5,1,1,2,2016,3
6,6,1,1,1,2017,3
2,5,2,1,0,2022,2
3,3,3,1,2,2017,1
7,4,0,0,0,2013,2
7,3,2,1,0,2022,4
7,1,3,1,0,2013,5
3,4,0,0,2,2015,3
2,6,3,1,0,2018,5
7,4,2,0,0,2014,1
0,3,0,1,0,2011,1
1,2,0,0,2,2022,2
3,3,2,1,2,2023,1
3,4,1,0,2,2018,5
2,4,1,0,0,2021,3
3,5,0,1,2,2018,2
3,2,2,0,2,2020,1
7,0,1,0,0,2010,4
2,2,1,0,0,2018,1
7,0,1,0,0,2016,3
1,6,2,1,2,2010,2
6,4,0,0,1,2011,3
1,5,0,1,2,2011,5
6,1,0,1,1,2017,5
7,1,0,1,0,2010,1
1,3,0,1,2,2020,4
2,2,2,0,0,2012,4
4,2,2,0,0,2022,2
7,1,2,1,0,2010,1
6,0,1,0,1,2014,3
0,2,0,0,0,2013,1
6,0,4,0,1,2012,4
0,0,0,0,0,2017,3
3,0,2,0,2,2021,3
1,0,3,0,2,2016,4
0,5,2,1,0,2013,2
6,3,0,1,1,2010,1
3,3,1,1,2,2016,4
4,5,0,1,0,2012,1
2,1,2,1,0,2014,1
2,3,2,1,0,2021,2
2,6,2,1,0,2017,3
0,5,0,1,0,2018,4
4,2,3,0,0,2019,3
0,6,2,1,0,2020,5
1,5,0,1,2,2019,4
0,3,1,1,0,2016,1
4,2,2,0,0,2015,4
4,2,1,0,0,2014,3
1,0,0,0,2,2014,5
4,1,0,1,0,2022,2
6,0,2,0,1,2020,4
4,5,0,1,0,2013,2
2,0,0,0,0,2016,5
6,6,3,1,1,2010,3
6,3,2,1,1,2023,5
1,6,2,1,2,2021,4
5,3,1,1,1,2012,1
5,6,2,1,1,2015,3
4,2,2,0,0,2019,4
6,3,4,1,1,2010,3
5,3,0,1,1,2022,3
5,6,0,1,1,2016,4
4,4,0,0,0,2011,1
5,2,2,0,1,2016,1
0,5,1,1,0,2023,4
3,2,0,0,2,2013,3
1,5,1,1,2,2018,3
3,4,0,0,2,2014,4
4,6,1,1,0,2010,4
2,6,4,1,0,2021,5
1,2,2,0,2,2020,1
4,6,0,1,0,2013,3
6,1,1,1,1,2020,3
2,1,0,1,0,2022,3
3,5,2,1,2,2013,3
4,4,1,0,0,2021,4
6,3,4,1,1,2013,1
1,1,2,1,2,2021,5
1,5,1,1,2,2012,4
7,6,3,1,0,2012,3
6,4,2,0,1,2019,1
0,5,0,1,0,2014,1
5,5,1,1,1,2014,2
2,1,2,1,0,2020,4
6,0,1,0,1,2011,1
7,4,0,0,0,2019,4
5,2,0,0,1,2021,1
5,5,1,1,1,2019,1
4,1,0,1,0,2022,5
5,2,3,0,1,2018,2
0,4,2,0,0,2012,4
1,1,2,1,2,2013,3
7,2,2,0,0,2011,5
5,3,2,1,1,2017,3
4,5,4,1,0,2016,5
0,3,1,1,0,2012,1
3,0,2,0,2,2020,2
1,6,1,1,2,2020,4
1,4,3,0,2,2014,1
7,6,3,1,0,2021,3
1,6,3,1,2,2010,2
5,2,0,0,1,2021,3
4,0,1,0,0,2015,4
1,4,0,0,2,2019,3
1,3,1,1,2,2015,2
3,6,1,1,2,2021,4
3,2,1,0,2,2014,1
2,6,2,1,0,2018,1
0,1,1,1,0,2013,2
5,3,3,1,1,2011,2
1,6,0,1,2,2021,2
6,1,1,1,1,2016,3
1,1,2,1,2,2014,1
4,2,2,0,0,2016,1
2,2,0,0,0,2016,1
0,1,3,1,0,2016,4
6,0,2,0,1,2012,5
2,6,3,1,0,2022,2
7,1,3,1,0,2014,4
0,1,1,1,0,2022,5
1,2,3,0,2,2010,2
1,6,3,1,2,2015,5
0,4,4,0,0,2013,1
1,3,3,1,2,2011,5
5,2,3,0,1,2012,2
0,6,1,1,0,2012,4
2,6,0,1,0,2023,2
0,5,3,1,0,2010,5
6,0,2,0,1,2016,5
1,3,1,1,2,2019,2
