industry,city,investment_type,founded_year,no_of_founders,amount_in_inr,city_tier,market_size_category
AgriTech,Hyderabad,Seed,2013,1,2905492,Tier-2,Small
E-commerce,Pune,Seed,2013,5,6679622,Tier-2,Large
AI,Chennai,Series B,2018,5,196187253,Tier-2,Large
AgriTech,Chennai,Pre-Seed,2010,3,1512306,Tier-2,Small
HealthTech,Hyderabad,Pre-Seed,2011,3,1623934,Tier-2,Medium
Logistics,Hyderabad,Series A,2013,4,47010549,Tier-2,Medium
AI,Pune,Pre-Seed,2012,3,1977046,Tier-2,Large
AI,Mumbai,Pre-Seed,2018,4,1232453,Tier-1,Large
AgriTech,Noida,Seed,2014,2,7420162,Tier-2,Small
EdTech,Pune,Pre-Seed,2017,1,818200,Tier-2,Small
HealthTech,Mumbai,Seed,2013,3,8059755,Tier-1,Medium
AgriTech,Mumbai,Seed,2020,2,4267860,Tier-1,Small
HealthTech,Mumbai,Pre-Seed,2013,1,894634,Tier-1,Medium
HealthTech,Pune,Series A,2023,2,18044390,Tier-2,Medium
Logistics,Bangalore,Pre-Seed,2019,2,1841181,Tier-1,Medium
AI,Bangalore,Series C,2022,2,405691501,Tier-1,Large
E-commerce,Chennai,Seed,2020,2,7815860,Tier-2,Large
Logistics,Bangalore,Series A,2012,3,35464538,Tier-1,Medium
Logistics,Bangalore,Series B,2018,5,66814882,Tier-1,Medium
HealthTech,Mumbai,Seed,2019,2,5030356,Tier-1,Medium
SaaS,Mumbai,Series A,2011,1,10535030,Tier-1,Large
AI,Hyderabad,Series B,2020,3,71526628,Tier-2,Large
EdTech,Mumbai,Pre-Seed,2021,3,1804578,Tier-1,Small
Logistics,Pune,Series C,2020,2,634516725,Tier-2,Medium
E-commerce,Hyderabad,Pre-Seed,2012,2,1104553,Tier-2,Large
SaaS,Noida,Pre-Seed,2012,1,1042520,Tier-2,Large
SaaS,Hyderabad,Series A,2020,5,24149371,Tier-2,Large
EdTech,Bangalore,Pre-Seed,2020,3,1989558,Tier-1,Small
